project_id,project_number,project_name,business_unit_id,project_manager_id,strategy_id,project_type,project_status,priority,start_date,planned_finish_date,currency_code,approved_budget,business_value_score,strategic_alignment_score,complexity_rating,criticality
1,PPM-0001,Unity Process Automation,4,11,5,Infrastructure,Completed,High,2024-03-13,2025-12-07,USD,1688000,93,92,2,Business Critical
2,PPM-0002,Summit Analytics Hub,4,5,5,Infrastructure,Active,High,2024-12-18,2027-06-18,USD,2720000,87,59,2,Standard
3,PPM-0003,Wave Process Automation,3,13,1,ERP Transformation,Active,High,2025-12-30,2028-02-28,USD,2775000,68,66,5,Important
4,PPM-0004,Elevate Supply Chain Optimization,3,2,3,Customer Experience,Active,High,2025-06-27,2027-01-18,USD,1905000,76,84,5,Business Critical
5,PPM-0005,Catalyst Revenue Enablement,3,5,5,Customer Experience,Active,Medium,2025-08-30,2028-01-09,USD,4930000,92,69,5,Business Critical
6,PPM-0006,Lighthouse Analytics Hub,2,6,5,Cloud Migration,Active,High,2025-09-28,2026-04-02,USD,5189000,88,83,3,Business Critical
7,PPM-0007,Orion Data Platform,5,7,5,ERP Transformation,Completed,Medium,2024-01-30,2024-11-19,USD,15360000,69,84,4,Important
8,PPM-0008,Rise Regulatory Readiness,3,22,4,Data & Analytics,Active,Medium,2025-03-23,2026-12-16,USD,7587000,89,65,4,Important
9,PPM-0009,Genesis Customer 360,1,9,3,Customer Experience,On Hold,High,2026-02-24,2028-07-22,USD,1442000,91,52,5,Important
10,PPM-0010,Horizon Regulatory Readiness,2,23,2,ERP Transformation,Completed,Medium,2025-02-03,2027-05-06,USD,7024000,67,70,3,Important
11,PPM-0011,Delta Revenue Enablement,5,9,2,Cloud Migration,Active,Critical,2025-09-02,2027-10-14,USD,6200000,85,58,5,Mission Critical
12,PPM-0012,Unity Infrastructure Refresh,4,24,1,Regulatory,Active,Medium,2024-05-11,2025-09-15,USD,2733000,83,82,4,Important
13,PPM-0013,Lighthouse Supply Chain Optimization,3,24,1,Product Development,Active,Critical,2024-10-16,2027-04-29,USD,1771000,70,63,4,Standard
14,PPM-0014,Vertex Customer 360,6,7,5,Regulatory,Completed,Medium,2025-08-05,2026-09-12,USD,1701000,70,96,1,Important
15,PPM-0015,Xenon Digital Commerce,3,18,2,Product Development,On Hold,High,2025-03-08,2026-01-26,USD,1089000,46,88,3,Important
16,PPM-0016,Momentum Analytics Hub,5,17,3,Product Development,Active,Medium,2024-03-15,2026-02-25,USD,1592000,87,71,4,Important
17,PPM-0017,Keystone Cloud Core,1,5,3,Infrastructure,Completed,High,2025-06-20,2026-03-11,USD,1372000,89,58,2,Business Critical
18,PPM-0018,Keystone Revenue Enablement,6,25,4,Infrastructure,Active,High,2024-08-21,2025-03-07,USD,1065000,68,74,3,Important
19,PPM-0019,Genesis Service Transformation,5,2,1,Regulatory,Active,Medium,2024-12-14,2027-07-21,USD,1642000,75,74,5,Important
20,PPM-0020,Pioneer Revenue Enablement,2,24,2,Infrastructure,Completed,Medium,2024-08-13,2025-02-26,USD,10440000,45,95,3,Important
21,PPM-0021,Insight ERP Renewal,1,8,4,Cybersecurity,Active,Critical,2024-04-04,2025-05-19,USD,5150000,85,87,5,Important
22,PPM-0022,Rise Analytics Hub,5,9,1,Infrastructure,Completed,Low,2024-07-06,2025-02-01,USD,2083000,75,68,2,Business Critical
23,PPM-0023,Momentum Infrastructure Refresh,5,12,5,Data & Analytics,On Hold,High,2025-05-17,2026-07-09,USD,3474000,95,63,5,Standard
24,PPM-0024,Quantum AI Foundations,6,5,1,Infrastructure,Active,Critical,2026-02-05,2028-10-25,USD,4672000,50,88,5,Important
