risk_id,project_id,period_id,risk_category,risk_description,probability_score,impact_score,risk_score,risk_severity,risk_status,mitigation_status,risk_owner_type,date_identified,target_resolution_date
1,1,202502,Schedule,Testing window compressed,2,3,6,Moderate,Open,Not Started,PMO,2025-02-14,2025-03-23
2,1,202504,Scope,Change requests threaten baseline,2,3,6,Moderate,Open,Planned,Business Owner,2025-04-12,2025-05-27
3,1,202506,Financial,Vendor spend trending above plan,3,4,12,High,Open,Not Started,PMO,2025-06-25,2025-10-20
4,1,202609,Scope,Change requests threaten baseline,1,3,3,Low,Open,Not Started,Technical Lead,2026-09-05,2026-11-21
5,2,202501,Resource,Specialist allocation conflict,3,5,15,High,Mitigating,At Risk,Project Manager,2025-01-14,2025-05-07
6,2,202503,Scope,Requirements instability,2,4,8,Moderate,Open,Not Started,Project Manager,2025-03-22,2025-06-21
7,2,202605,Schedule,Dependency delay threatens delivery,2,5,10,High,Mitigating,At Risk,Business Owner,2026-05-09,2026-06-12
8,2,202512,Compliance,Control evidence incomplete,4,4,16,Critical,Mitigating,At Risk,Technical Lead,2025-12-18,2026-03-11
9,2,202511,Change Management,Training preparation delayed,3,5,15,High,Mitigating,In Progress,Business Owner,2025-11-24,2026-03-16
10,2,202607,Financial,Forecast cost exceeds approved budget,3,5,15,High,Closed,Complete,PMO,2026-07-24,2026-10-27
11,2,202502,Scope,Change requests threaten baseline,3,5,15,High,Open,Planned,Program Manager,2025-02-17,2025-04-18
12,2,202610,Financial,Contingency reserve under pressure,3,5,15,High,Open,Planned,Business Owner,2026-10-17,2026-12-06
13,2,202506,Financial,Vendor spend trending above plan,2,4,8,Moderate,Closed,Complete,Technical Lead,2025-06-20,2025-08-01
14,3,202508,Vendor,Vendor deliverable delayed,3,5,15,High,Mitigating,On Track,Project Manager,2025-08-07,2025-11-01
15,3,202511,Schedule,Critical milestone slippage,5,5,25,Critical,Mitigating,In Progress,Business Owner,2025-11-05,2026-02-27
16,3,202607,Schedule,Testing window compressed,5,4,20,Critical,Open,Planned,Program Manager,2026-07-21,2026-09-27
17,3,202505,Schedule,Dependency delay threatens delivery,5,5,25,Critical,Open,Not Started,PMO,2025-05-10,2025-09-03
18,3,202510,Change Management,Training preparation delayed,5,5,25,Critical,Open,Planned,Technical Lead,2025-10-21,2025-11-24
19,3,202508,Financial,Contingency reserve under pressure,3,5,15,High,Closed,Complete,Program Manager,2025-08-19,2025-11-06
